"year.f","pred","year","year2","year.c","predlinear","residuals","sqq"
"2009",2.78946809286901e-11,2009,1,-3.625,-0.0476190475898244,-0.0476190476177191,604
"2010",2.78946808888962e-11,2010,2,-2.625,2.78947143161901e-11,3.34272938904923e-17,604
"2011",2.78946809286901e-11,2011,3,-1.625,0.0476190476456138,0.0476190476177191,604
"2012",2.78946809286897e-11,2012,4,-0.625,0.0952380952633329,0.0952380952354383,604
"2013",2.78946809286892e-11,2013,5,0.375,0.142857142881052,0.142857142853157,604
"2014",2.78946809286902e-11,2014,6,1.375,0.190476190498771,0.190476190470876,604
"2015",0.999999999999996,2015,7,2.375,0.23809523811649,-0.761904761883506,604
"2017",2.78946809286895e-11,2017,9,4.375,0.333333333351928,0.333333333324034,604
"1998",1.11206986152025,1998,1,-10.5,1.22353618277598,0.111466321255727,641
"1999",0.988863072818454,1999,2,-9.5,1.3179598463169,0.329096773498447,641
"2000",1.03491682116535,2000,3,-8.5,1.41238350985783,0.377466688692472,641
"2001",0.689893390685429,2001,4,-7.5,1.50680717339875,0.816913782713322,641
"2002",1.37899679111123,2002,5,-6.5,1.60123083693968,0.222234045828443,641
"2003",1.80116629669508,2003,6,-5.5,1.6956545004806,-0.105511796214478,641
"2004",1.69486180951614,2004,7,-4.5,1.79007816402153,0.0952163545053839,641
"2005",3.05797631846281,2005,8,-3.5,1.88450182756245,-1.17347449090036,641
"2006",1.57508713311278,2006,9,-2.5,1.97892549110338,0.403838357990597,641
"2007",2.62505851650086,2007,10,-1.5,2.0733491546443,-0.551709361856555,641
"2008",1.99478073373077,2008,11,-0.5,2.16777281818523,0.172992084454461,641
"2009",1.03218811807598,2009,12,0.5,2.26219648172615,1.23000836365017,641
"2010",1.86371771886794,2010,13,1.5,2.35662014526708,0.492902426399139,641
"2011",4.35970660943081,2011,14,2.5,2.451043808808,-1.90866280062281,641
"2012",4.13020421936242,2012,15,3.5,2.54546747234893,-1.58473674701349,641
"2013",3.90091273962844,2013,16,4.5,2.63989113588985,-1.26102160373859,641
"2014",2.52381692936249,2014,17,5.5,2.73431479943078,0.210497870068288,641
"2015",3.09821395988611,2015,18,6.5,2.8287384629717,-0.269475496914407,641
"2016",3.08399446136562,2016,19,7.5,2.92316212651263,-0.160832334852997,641
"2017",4.31711217016926,2017,20,8.5,3.01758579005355,-1.29952638011571,641
"2018",1.23339838463502,2018,21,9.5,3.11200945359448,1.87861106895945,641
"2019",1.2327262429219,2019,22,10.5,3.2064331171354,1.9737068742135,641
"2009",5,2009,1,-3.5,3.83333333336768,-1.16666666663232,679
"2010",4,2010,2,-2.5,4.88095238098428,0.880952380984279,679
"2011",5,2011,3,-1.5,5.92857142860087,0.928571428600873,679
"2012",2.06115362242487e-10,2012,4,-0.5,6.97619047621747,6.97619047601135,679
"2013",17,2013,5,0.5,8.02380952383406,-8.97619047616594,679
"2014",9.00000000000001,2014,6,1.5,9.07142857145066,0.0714285714506513,679
"2015",13,2015,7,2.5,10.1190476190673,-2.88095238093275,679
"2016",7,2016,8,3.5,11.1666666666838,4.16666666668384,679
"1998",2.78946810019712e-11,1998,1,-9.35714285714286,0.317188587349521,0.317188587321626,713
"1999",0.999999999999993,1999,2,-8.35714285714286,0.405427974961872,-0.594572025038121,713
"2001",0.999999999999986,2001,4,-6.35714285714286,0.581906750186575,-0.41809324981341,713
