"year.f","pred","predtrans","year","year2","year.c","predlinear","residuals","sqq"
"1998",1.05402858133971,2.86918661828201,1998,1,-10.5,1.87294394096502,-0.996242677316986,899
"1999",0.29884408175647,1.34829938261165,1999,2,-9.5,1.82717729697181,0.478877914360155,899
"2000",0.420426174123402,1.52261031448275,2000,3,-8.5,1.7814106529786,0.258800338495849,899
"2001",-0.144088257983452,0.865811329924971,2001,4,-7.5,1.73564400898539,0.869832679060421,899
"2002",0.62693786480647,1.87186987572073,2002,5,-6.5,1.68987736499218,-0.181992510728552,899
"2003",0.635379896956857,1.88773915161417,2003,6,-5.5,1.64411072099897,-0.243628430615192,899
"2004",0.379868149406173,1.46209179905281,2004,7,-4.5,1.59834407700576,0.136252277952958,899
"2005",0.560531332316428,1.75160293633447,2005,8,-3.5,1.55257743301255,-0.199025503321913,899
"2006",0.538851937863252,1.7140379101359,2006,9,-2.5,1.50681078901935,-0.207227121116551,899
"2007",0.539113446168404,1.71448620389846,2007,10,-1.5,1.46104414502614,-0.253442058872322,899
"2008",0.605465182908735,1.83210427428269,2008,11,-0.5,1.41527750103293,-0.416826773249768,899
"2009",-0.204747979830721,0.814852649838995,2009,12,0.5,1.36951085703972,0.554658207200723,899
"2010",0.341482995010813,1.40703266652734,2010,13,1.5,1.32374421304651,-0.0832884534808334,899
"2011",0.0705875986246612,1.07313857077633,2011,14,2.5,1.2779775690533,0.20483899827697,899
"2012",0.412338635411932,1.51034580631415,2012,15,3.5,1.23221092506009,-0.278134881254056,899
"2013",-0.193976258216074,0.823677459608708,2013,16,4.5,1.18644428106688,0.362766821458173,899
"2014",-0.231985842889928,0.792957349211696,2014,17,5.5,1.14067763707367,0.347720287861976,899
"2015",-0.374349211753457,0.687736704149376,2015,18,6.5,1.09491099308046,0.407174288931087,899
"2016",0.379681609206779,1.46181908559388,2016,19,7.5,1.04914434908725,-0.412674736506627,899
"2017",0.139974346801519,1.15024429103364,2017,20,8.5,1.00337770509404,-0.146866585939601,899
"2018",-0.455215130553869,0.634311493485922,2018,21,9.5,0.957611061100835,0.323299567614913,899
"2019",0.362359999486423,1.43671606591845,2019,22,10.5,0.911844417107626,-0.524871648810828,899
"1998",0.0796225130220345,1.08287821808607,1998,1,-10.5,1.70389446301287,0.621016244926806,753
"1999",-0.153299655404169,0.857872617126103,1999,2,-9.5,1.73583395930789,0.87796134218179,753
"2000",0.760271639485586,2.13885713964611,2000,3,-8.5,1.76777345560291,-0.371083684043198,753
"2001",0.0262329056667193,1.02658001693545,2001,4,-7.5,1.79971295189793,0.773132934962488,753
"2002",1.09039247903946,2.97544164190242,2002,5,-6.5,1.83165244819296,-1.14378919370947,753
"2003",1.17473169231871,3.23727424175794,2003,6,-5.5,1.86359194448798,-1.37368229726997,753
"2004",-0.248053840640449,0.780317929329946,2004,7,-4.5,1.895531440783,1.11521351145305,753
"2005",0.42377056586808,1.52771104451429,2005,8,-3.5,1.92747093707802,0.39975989256373,753
"2006",1.1495162142383,3.15666539045316,2006,9,-2.5,1.95941043337304,-1.19725495708012,753
"2007",0.510102263025485,1.66546150136967,2007,10,-1.5,1.99134992966806,0.325888428298389,753
"2008",1.12325460421397,3.07484534047763,2008,11,-0.5,2.02328942596308,-1.05155591451455,753
"2009",0.975294236717587,2.65194739649452,2009,12,0.5,2.0552289222581,-0.596718474236422,753
"2010",0.925624961821292,2.52344482433403,2010,13,1.5,2.08716841855312,-0.43627640578091,753
"2011",0.114530747263207,1.12134711888892,2011,14,2.5,2.11910791484814,0.997760795959223,753
"2012",0.239880665699596,1.27109745574478,2012,15,3.5,2.15104741114317,0.87994995539839,753
"2013",0.877722530719227,2.40541520416014,2013,16,4.5,2.18298690743819,-0.222428296721953,753
"2014",1.00421778698857,2.72977117496179,2014,17,5.5,2.21492640373321,-0.514844771228579,753
"2015",0.281650073520828,1.32531487606751,2015,18,6.5,2.24686590002823,0.921551023960715,753
"2016",0.679505881760831,1.9729026441653,2016,19,7.5,2.27880539632325,0.305902752157949,753
"2017",0.905046400405551,2.47204662436227,2017,20,8.5,2.31074489261827,-0.161301731743997,753
"2018",0.746865125216169,2.11037387812695,2018,21,9.5,2.34268438891329,0.232310510786343,753
"2019",1.01382953609577,2.75613555152803,2019,22,10.5,2.37462388520831,-0.381511666319717,753
"1998",1.10002388722125,3.00423778598201,1998,1,-10.5,1.91173661618467,-1.09250116979735,827
