sqq,siteID,year,adults,juveniles,country
899,GBT10,1998,24,81,GBT
899,GBT10,1999,16,23,GBT
899,GBT10,2000,16,29,GBT
899,GBT10,2001,13,8,GBT
899,GBT10,2002,9,10,GBT
899,GBT10,2003,5,4,GBT
899,GBT10,2004,9,25,GBT
899,GBT10,2005,6,2,GBT
899,GBT10,2006,5,9,GBT
899,GBT10,2007,9,12,GBT
899,GBT10,2008,6,13,GBT
899,GBT10,2009,6,4,GBT
899,GBT10,2010,6,14,GBT
899,GBT10,2011,4,10,GBT
899,GBT10,2012,4,12,GBT
899,GBT10,2013,6,4,GBT
899,GBT10,2014,8,6,GBT
899,GBT10,2015,6,4,GBT
899,GBT10,2016,7,8,GBT
899,GBT10,2017,3,1,GBT
899,GBT10,2019,4,6,GBT
753,GBT115,1998,27,52,GBT
753,GBT115,1999,19,29,GBT
753,GBT115,2000,10,38,GBT
753,GBT115,2003,8,39,GBT
753,GBT115,2004,10,32,GBT
753,GBT115,2005,10,36,GBT
753,GBT115,2006,9,19,GBT
753,GBT115,2007,14,51,GBT
753,GBT115,2008,11,25,GBT
753,GBT115,2009,10,56,GBT
753,GBT115,2010,13,82,GBT
753,GBT115,2011,20,18,GBT
753,GBT115,2012,9,33,GBT
827,GBT148,1998,10,38,GBT
827,GBT148,1999,10,22,GBT
827,GBT148,2000,6,21,GBT
827,GBT148,2001,9,4,GBT
827,GBT148,2002,4,10,GBT
827,GBT148,2003,5,10,GBT
827,GBT148,2004,7,12,GBT
827,GBT148,2005,4,0,GBT
827,GBT148,2006,6,6,GBT
864,GBT150,1998,10,32,GBT
864,GBT150,1999,5,7,GBT
864,GBT150,2000,9,8,GBT
864,GBT150,2001,10,6,GBT
864,GBT150,2002,9,26,GBT
864,GBT150,2004,6,6,GBT
864,GBT150,2006,9,12,GBT
864,GBT150,2007,5,2,GBT
864,GBT150,2008,7,5,GBT
864,GBT150,2009,9,16,GBT
864,GBT150,2011,9,7,GBT
864,GBT150,2012,5,2,GBT
864,GBT150,2013,3,4,GBT
864,GBT150,2014,3,6,GBT
864,GBT150,2015,3,6,GBT
900,GBT152,1998,14,8,GBT
900,GBT152,1999,13,11,GBT
900,GBT152,2000,11,10,GBT
900,GBT152,2001,8,6,GBT
900,GBT152,2002,9,15,GBT
900,GBT152,2003,4,5,GBT
900,GBT152,2004,5,10,GBT
900,GBT152,2005,5,4,GBT
900,GBT152,2006,5,4,GBT
900,GBT152,2007,4,7,GBT
900,GBT152,2010,3,3,GBT
900,GBT152,2011,10,6,GBT
900,GBT152,2012,3,2,GBT
900,GBT152,2013,4,1,GBT
901,GBT154,1999,4,12,GBT
901,GBT154,2000,5,8,GBT
901,GBT154,2003,5,10,GBT
901,GBT154,2004,6,14,GBT
901,GBT154,2005,4,18,GBT
901,GBT154,2006,9,4,GBT
901,GBT154,2007,5,14,GBT
901,GBT154,2012,5,30,GBT
901,GBT154,2015,3,8,GBT
901,GBT154,2017,3,13,GBT
715,GBT215,1998,75,217,GBT
715,GBT215,1999,58,100,GBT
715,GBT215,2000,50,29,GBT
715,GBT215,2001,31,37,GBT
715,GBT215,2002,27,18,GBT
715,GBT215,2003,28,32,GBT
715,GBT215,2004,19,6,GBT
715,GBT215,2005,21,9,GBT
715,GBT215,2006,21,35,GBT
901,GBT223,1998,23,19,GBT
901,GBT223,2000,16,7,GBT
901,GBT223,2003,6,1,GBT
901,GBT223,2004,10,5,GBT
901,GBT223,2005,9,3,GBT
901,GBT223,2006,6,9,GBT
901,GBT223,2007,12,2,GBT
901,GBT223,2008,6,3,GBT
901,GBT223,2009,7,9,GBT
901,GBT223,2010,4,3,GBT
901,GBT223,2011,7,4,GBT
901,GBT223,2012,9,3,GBT
901,GBT223,2013,6,4,GBT
901,GBT223,2014,4,2,GBT
901,GBT223,2015,3,2,GBT
901,GBT223,2019,11,4,GBT
901,GBT226,1998,7,17,GBT
901,GBT226,1999,5,7,GBT
901,GBT226,2000,4,11,GBT
901,GBT226,2001,6,5,GBT
901,GBT226,2003,3,7,GBT
901,GBT226,2004,7,2,GBT
901,GBT226,2005,13,3,GBT
