sqq,lat,long
37,68.8181594,54.70045402
72,69.14877556,49.11483491
73,68.64873191,51.15060581
74,68.12775912,53.10380193
87,71.20291378,-10.30531236
88,71.45250196,-7.660257952
101,71.34730222,28.82683055
108,68.86882921,45.58953227
109,68.40848199,47.67303991
110,67.92582975,49.67898156
111,67.42218884,51.60904354
136,70.88404961,22.81660006
137,70.69768196,25.44152434
138,70.47782892,28.01729916
139,70.22555579,30.53786474
140,69.94202672,32.99815084
141,69.62848034,35.39408365
142,69.28620633,37.72255979
144,68.52076059,42.16924479
145,68.10023839,44.28553232
146,67.65625604,46.33034189
147,67.19007886,48.30433088
148,66.70292916,50.20863547
172,70.13890246,19.71743073
173,69.99393338,22.2765316
174,69.81597812,24.79892549
175,69.60585847,27.27836753
176,69.36450777,29.709376
177,69.09295115,32.08727666
178,68.79228543,34.40821787
179,68.46365945,36.66915965
180,68.10825546,38.86784068
181,67.72727212,41.00272819
182,67.32190928,43.07295542
183,66.89335483,45.07825135
184,66.44277366,47.01886676
185,65.97129867,48.89549985
207,69.42181242,14.33199791
208,69.34819674,16.83742886
209,69.24184783,19.32344932
210,69.10324051,21.78345516
211,68.93297905,24.21131014
212,68.73178386,26.60143367
213,68.50047637,28.94886617
214,68.23996284,31.24931102
215,67.95121768,33.49915393
216,67.63526693,35.6954615
217,67.29317241,37.83596185
218,66.92601695,39.91901053
219,66.53489097,41.94354539
220,66.12088063,43.90903373
221,65.68505764,45.81541491
222,65.22847068,47.66304126
244,68.51718569,14.1625242
245,68.4467241,16.57117728
246,68.34489515,18.96280595
247,68.21211484,21.33157962
248,68.0489138,23.67204642
249,67.85592656,25.97920689
250,67.63387916,28.24857044
251,67.38357575,30.47619411
252,67.10588479,32.65870356
253,66.80172504,34.79329759
254,66.47205207,36.87773803
255,66.1178455,38.91032721
256,65.74009713,40.8898757
257,65.33980036,42.81566283
258,64.9179409,44.68739242
259,64.47548872,46.50514602
281,67.61334319,14.0070388
282,67.54577351,16.32676625
283,67.44809298,18.63148331
284,67.32066788,20.91601933
285,67.16396643,23.1755128
286,66.97854996,25.40547324
287,66.76506278,27.60183
288,66.52422102,29.76096738
289,66.25680108,31.8797458
290,65.9636278,33.95550986
292,65.30349414,37.96976057
293,64.9383244,39.90527243
294,64.55096282,41.79176836
295,64.142316,43.62877676
296,63.71328074,45.41616925
318,66.71024291,13.86388835
319,66.64533379,16.10163452
320,66.55147317,18.32608178
321,66.42898506,20.53262562
322,66.27828443,22.71691574
323,66.09986995,24.87490832
324,65.89431552,27.00290809
325,65.66226108,29.09759984
326,65.4044028,31.1560689
327,65.12148311,33.17581113
328,64.81428081,35.15473322
329,64.48360144,37.09114423
330,64.13026823,38.98374
331,63.75511369,40.83158158
332,63.35897195,42.63406938
333,62.94267199,44.3909142
354,65.84221369,11.56217538
355,65.80784031,13.73167025
356,65.74538656,15.89360575
357,65.65505401,18.04370583
358,65.53713053,20.1778541
359,65.39198541,22.29214478
360,65.22006332,24.38292681
361,65.02187733,26.44684031
362,64.7980011,28.48084456
363,64.54906068,30.48223736
364,64.27572598,32.44866591
365,63.97870229,34.37812974
366,63.65872196,36.26897646
367,63.3165364,38.11989132
368,62.95290868,39.92988159
369,62.56860659,41.69825693
370,62.16439654,43.42460677
391,64.93920677,11.51080436
392,64.90608887,13.60918696
393,64.84590768,15.70081902
394,64.75884282,17.78187434
395,64.64515106,19.84865951
396,64.50516229,21.89765664
397,64.33927449,23.92556096
398,64.14794785,25.92931227
399,63.93169823,27.90611981
400,63.69109015,29.85348016
401,63.42672957,31.76918836
402,63.13925653,33.65134257
403,62.82933797,35.49834264
404,62.4976607,37.30888348
405,62.14492481,39.08194397
406,61.77183753,40.81677213
407,61.37910757,42.51286763
427,64.04263902,9.428234269
428,64.03689373,11.46309394
429,64.00494049,13.49540986
430,63.94686831,15.52167383
431,63.86283787,17.53844947
432,63.75307904,19.54241147
433,63.61788758,21.53038182
434,63.45762088,23.49936176
435,63.27269302,25.44655912
436,63.06356921,27.36941026
437,62.83075986,29.2655965
438,62.57481434,31.1330551
439,62.2963147,32.96998481
440,61.99586933,34.77484647
441,61.67410688,36.54635918
442,61.33167038,38.28349252
443,60.96921171,39.98545557
444,60.58738657,41.65168338
463,63.12098223,7.473425687
464,63.14076619,9.445600145
465,63.13521591,11.41866939
466,63.10434582,13.38945054
467,63.04823576,15.35478623
468,62.96702995,17.31157945
469,62.86093493,19.25682675
470,62.73021673,21.18764887
471,62.57519731,23.10131825
472,62.39625037,24.99528267
473,62.1937966,26.86718466
474,61.96829864,28.71487649
475,61.72025572,30.53643062
476,61.45019816,32.33014585
477,61.15868193,34.09454917
478,60.84628326,35.82839397
479,60.51359341,37.5306548
480,60.16121379,39.20051935
481,59.78975135,40.83737803
499,62.17675205,5.636300596
500,62.22034709,7.547218447
501,62.23948344,9.461808208
502,62.23411494,11.37720555
503,62.20425455,13.29053769
504,62.14997418,15.19895343
505,62.07140369,17.09965258
507,61.84219089,20.86712255
508,61.69207954,22.7287911
509,61.51873337,24.57258273
510,61.32253386,26.39632706
511,61.10390133,28.19803399
512,60.86329042,29.97590359
513,60.60118529,31.72833234
514,60.31809484,33.45391596
515,60.014548,35.15144896
516,59.69108909,36.81992137
517,59.34827346,38.45851294
518,58.98666327,40.06658525
532,60.87487146,-1.587225153
536,61.27798025,5.75885793
537,61.3202,7.616251052
538,61.33873136,9.476969379
539,61.33353267,11.33841891
540,61.30461562,13.19799847
541,61.25204512,15.0531252
542,61.17593852,16.90125963
544,60.95383914,20.56675308
545,60.80832718,22.37945782
546,60.64023512,24.17589998
547,60.44990966,25.95407899
548,60.23773362,27.71214983
549,60.00412188,29.44843224
550,59.74951728,31.16141698
551,59.47438641,32.84976916
552,59.17921549,34.51232877
553,58.8645062,36.1481089
554,58.53077184,37.75629165
555,58.17853349,39.33622217
569,59.98856095,-1.279095221
573,60.37955388,5.873768321
574,60.42048596,7.680964461
575,60.43845099,9.491180802
576,60.43341124,11.30206117
577,60.4053773,13.11124328
578,60.35440797,14.91638048
579,60.28060955,16.71516318
580,60.18413463,18.50533942
581,60.06518035,20.28473422
582,59.92398615,22.05126719
583,59.76083121,23.80296821
584,59.57603141,25.53799086
585,59.36993613,27.25462347
586,59.14292474,28.95129761
587,58.89540303,30.62659418
588,58.6277995,32.27924697
589,58.34056171,33.90814404
590,58.03415263,35.51232685
591,57.70904712,37.09098757
592,57.36572859,38.64346466
602,58.37905763,-7.757660955
603,58.59093614,-6.090532055
604,58.78224043,-4.40570908
605,58.95263481,-2.704711865
610,59.4814257,5.981716123
611,59.52114985,7.741746611
612,59.53858371,9.504527915
613,59.53369303,11.26791394
614,59.50648742,13.02975333
615,59.45702029,14.78790816
616,59.3853882,16.54027231
617,59.29172987,18.2847892
619,59.03909061,21.7424013
620,58.88058231,23.45177421
621,58.7009882,25.14588085
622,58.5006278,26.82313201
623,58.2798487,28.48206343
624,58.03902336,30.1213416
625,57.77854592,31.73976748
626,57.49882896,33.33627831
627,57.20030019,34.90994755
628,56.88339941,36.45998315
629,56.54857538,37.98572445
639,57.51159274,-7.329716661
640,57.71778421,-5.699228129
641,57.90389027,-4.052476303
642,58.06960306,-2.390877289
647,58.58354753,6.08330613
648,58.62213651,7.798940144
649,58.63907129,9.517086161
650,58.63432067,11.23578433
651,58.60789341,12.95307027
652,58.55983813,14.66699116
653,58.49024279,16.37562162
654,58.39923379,18.07707903
655,58.28697472,19.76953798
656,58.15366464,21.45124367
657,57.99953619,23.12052399
658,57.8248533,24.77580001
659,57.62990879,26.41559498
660,57.4150217,28.03854146
661,57.1805345,29.64338683
662,56.92681028,31.22899703
663,56.65422986,32.79435862
664,56.36318888,34.33857935
665,56.05409504,35.86088716
666,55.72736531,37.36062801
676,56.64262626,-6.924807731
677,56.8434372,-5.329238563
678,57.02462995,-3.718692556
679,57.18592162,-2.094490017
684,57.68587037,6.179074786
685,57.72339078,7.852848824
686,57.73985583,9.528922411
687,57.73523703,11.20550139
688,57.70954239,12.88078769
689,57.66281626,14.55299324
690,57.59513898,16.22035374
691,57.506626,17.88114194
692,57.39742685,19.53368024
693,57.26772365,21.1763524
694,57.11772945,22.80761418
695,56.94768626,24.42600269
696,56.75786291,26.03014441
697,56.54855276,27.6187618
698,56.32007122,29.1906784
699,56.07275326,30.74482254
700,55.80695086,32.28022955
701,55.52303043,33.79604272
702,55.22137028,35.29151294
703,54.90235818,36.76599722
712,55.5576367,-8.088501898
713,55.77224048,-6.541196679
714,55.96795489,-4.978929617
715,56.14449783,-3.402845256
716,56.30160888,-1.814175458
722,56.82485749,7.903742894
723,56.84087971,9.54009614
724,56.83638518,11.17691305
725,56.8113812,12.81254397
726,56.76590836,14.44534796
727,56.70004015,16.0737047
730,56.3812755,20.91643748
731,56.23518903,22.51160771
732,56.06953467,24.09492109
733,55.8845597,25.66509893
734,55.68053429,27.22094706
735,55.45774939,28.76136054
736,55.21651448,30.28532725
737,54.95715529,31.79193022
738,54.68001155,33.28034881
739,54.38543467,34.74985885
740,54.07378555,36.19983165
747,54.21808861,-10.68183002
748,54.46356847,-9.195764691
749,54.6911387,-7.693956655
750,54.900504,-6.177313997
751,55.09138549,-4.646828668
752,55.26352272,-3.103573673
753,55.41667559,-1.548699209
759,55.92648146,7.951863567
760,55.94208562,9.550660427
761,55.9377084,11.1498836
762,55.91335651,12.7480163
763,55.86906716,14.34354935
764,55.80490774,15.93499159
767,55.49432151,20.67034153
768,55.35193342,22.23121312
769,55.1904357,23.78114365
770,55.01005618,25.31894162
771,54.81104409,26.8434901
772,54.59366823,28.3537512
773,54.35821489,29.8487694
774,54.10498594,31.32767399
775,53.83429667,32.78968038
776,53.54647386,34.23409052
777,53.24185367,35.66029249
784,53.36107273,-10.25151315
785,53.60086029,-8.792589727
786,53.82308511,-7.319045104
787,54.02747341,-5.831738828
788,54.21376701,-4.331605215
789,54.38172507,-2.819650623
790,54.53112589,-1.296949837
791,54.6617685,0.235358433
796,55.02820755,7.997426815
797,55.04341645,9.560662788
798,55.03915014,11.12429153
799,55.01541479,12.68691557
800,54.97224458,14.24714411
801,54.90970144,15.80360212
802,54.8278745,17.35493924
803,54.7268794,18.89983831
804,54.6068573,20.43702332
805,54.46797373,21.96526678
806,54.31041735,23.48339636
807,54.13439838,24.99030076
808,53.94014714,26.48493465
809,53.72791226,27.96632285
810,53.49795899,29.43356352
811,53.25056737,30.88583048
812,52.98603038,32.32237473
813,52.70465214,33.74252506
814,52.40674608,35.14568796
821,52.50203741,-9.841685879
822,52.73640239,-8.408844615
823,52.95353952,-6.962405608
824,53.15319466,-5.503182179
825,53.33512847,-4.032054449
826,53.49911796,-2.549966722
827,53.64495808,-1.057924114
828,53.77246315,0.443011582
833,54.12998063,8.040626588
834,54.14481533,9.570145886
835,54.14065403,11.10002775
836,54.11750238,12.62898215
837,54.07539187,14.15572493
838,54.01437948,15.67898577
839,53.93454733,17.19751607
840,53.83600193,18.71009643
841,53.71887344,20.21554374
842,53.58331458,21.71271767
843,53.42949954,23.20052669
844,53.25762266,24.67793326
845,53.06789703,26.14395846
846,52.86055299,27.59768572
847,52.63583658,29.03826391
848,52.39400791,30.46490959
849,52.13533951,31.87690857
850,51.86011471,33.2736167
851,51.56862595,34.65446002
858,51.641069,-9.451002133
859,51.8702641,-8.043231188
860,52.08255459,-6.622798106
861,52.27770428,-5.19047231
862,52.45549098,-3.747083022
863,52.61570796,-2.293516783
864,52.75816531,-0.830714307
865,52.88269121,0.640333303
866,52.98913319,2.118588981
868,53.1472584,5.092377044
869,53.19874243,6.585653222
870,53.23174558,8.081637535
871,53.24622557,9.579148133
872,53.24216379,11.07699402
873,53.21956547,12.5739822
874,53.17845961,14.0689248
875,53.11889879,15.56064621
876,53.04095874,17.04798994
877,52.94473778,18.52982529
878,52.8303561,20.00505365
879,52.69795485,21.47261426
880,52.5476951,22.93148963
881,52.37975677,24.38071022
882,52.19433729,25.8193586
883,51.99165034,27.24657302
884,51.77192442,28.66155016
885,51.5354014,30.06354743
886,51.28233505,31.45188446
887,51.01298958,32.82594403
888,50.72763807,34.18517244
898,51.40103042,-4.892541984
899,51.5748686,-3.475696674
900,51.73149591,-2.049388033
901,51.8707362,-0.614497207
902,51.99243027,0.828049749
903,52.09643695,2.277285889
904,52.18263402,3.732207886
905,52.2509191,5.191781009
906,52.30121041,6.654944509
907,52.33344727,8.12061735
908,52.34759063,9.587704209
909,52.34362331,11.05510168
910,52.32155012,12.52170456
911,52.28139787,13.98641222
912,52.22321511,15.44813484
913,52.14707183,16.90579955
914,52.05305893,18.35835631
915,51.94128756,19.8047835
916,51.81188836,21.24409315
917,51.66501054,22.67533571
918,51.50082084,24.09760432
919,51.31950248,25.51003864
920,51.12125391,26.91182805
921,50.90628759,28.30221433
922,50.67482869,29.68049376
923,50.42711374,31.04601866
924,50.16338932,32.39819841
925,49.88391068,33.7364999
934,50.33642989,-5.990250787
935,50.52319379,-4.608417313
936,50.69326912,-3.216989443
937,50.84647749,-1.816749878
938,50.98265531,-0.408524623
939,51.10165488,1.006820196
940,51.20334527,2.428381975
941,51.28761326,3.855225711
942,51.35436402,5.286388465
943,51.40352183,6.720884176
944,51.43503057,8.15770877
945,51.4488541,9.595845498
946,51.44497651,11.03427043
947,51.42340228,12.47195807
948,51.38415619,13.90788695
949,51.32728317,15.3410452
950,51.25284799,16.77043599
951,51.16093481,18.19508279
952,51.05164661,19.61403431
953,50.92510445,21.02636921
954,50.78144673,22.43120041
955,50.62082824,23.82767892
956,50.44341918,25.21499735
957,50.24940409,26.59239285
958,50.03898075,27.95914961
959,49.81235899,29.31460087
960,49.5697595,30.65813043
961,49.31141261,31.98917369
962,49.03755707,33.30721823
974,49.96064384,-1.594844985
975,50.09390363,-0.212115118
976,50.21033686,1.177244504
977,50.30982197,2.572390414
978,50.3922539,3.97245021
979,50.4575447,5.376526576
980,50.50562419,6.783701594
981,50.53644033,8.193041306
982,50.54995965,9.603600473
983,50.54616742,11.01442748
984,50.52506777,12.42456929
985,50.48668367,13.83307648
986,50.43105676,15.23900815
987,50.35824706,16.64143681
988,50.26833261,18.03945299
989,50.16140893,19.4321698
990,50.03758841,20.81872703
991,49.89699956,22.19829506
992,49.73978625,23.57007841
993,49.56610679,24.93331883
994,49.376133,26.28729809
995,49.17004918,27.63134027
996,48.94805106,28.96481367
997,48.71034474,30.28713228
998,48.45714556,31.59775683
999,48.188677,32.89619549
1008,48.58495576,-5.413460944
1009,48.7640823,-4.078098643
1010,48.9271426,-2.734374616
1011,49.073982,-1.382981488
1012,49.20445889,-0.024646813
1013,49.31844559,1.339869605
1014,49.41582912,2.709778728
1015,49.49651184,4.084265615
1016,49.56041208,5.462493048
1017,49.60746468,6.843605401
1018,49.63762136,8.22673273
1019,49.65085104,9.610995026
1020,49.64714007,10.99550659
1021,49.62649229,12.37938046
1022,49.58892899,13.76173288
1023,49.53448882,15.14168774
1024,49.46322749,16.51838083
1025,49.37521746,17.8909641
1026,49.27054747,19.25860964
1027,49.14932194,20.62051343
1028,49.0116604,21.97589882
1029,48.85769672,23.32401981
1030,48.68757833,24.66416383
1031,48.50146535,25.99565431
1032,48.29952972,27.31785282
1033,48.08195421,28.63016088
1034,47.84893143,29.93202138
1035,47.60066291,31.22291961
1036,47.33735798,32.50238399
1046,47.88281813,-3.830341359
1047,48.04260541,-2.50901745
1048,48.18647532,-1.180526164
1049,48.31429591,0.154448906
1050,48.42594827,1.495195156
1051,48.52132722,2.840973716
1052,48.60034193,4.191022476
1053,48.66291647,5.544559353
1054,48.70899024,6.900785781
1055,48.73851839,8.258890376
1056,48.75147205,9.618052749
1057,48.74783853,10.97744742
1058,48.72762139,12.3362478
1059,48.69084042,13.69363014
1060,48.63753152,15.04877752
1061,48.56774649,16.40088372
1062,48.48155269,17.74915695
1063,48.37903263,19.09282346
1064,48.2602835,20.43113092
1065,48.12541659,21.76335163
1066,47.97455661,23.08878536
1067,47.80784099,24.40676203
1068,47.62541915,25.71664398
1069,47.42745161,27.01782804
1070,47.2141092,28.30974717
1071,46.98557213,29.59187182
1072,46.74202909,30.86371101
1073,46.48367634,32.12481304
1084,47.15707171,-2.293426621
1085,47.29810383,-0.986898433
1086,47.42338692,0.325692908
1087,47.5328101,1.64367849
1088,47.62627536,2.966365755
1089,47.7036981,4.293041242
1090,47.76500763,5.622973542
1091,47.81014755,6.95541645
1092,47.83907612,8.289612258
1093,47.85176648,9.624795185
1094,47.84820683,10.96019488
1095,47.82840048,12.29504
1096,47.79236584,13.62856176
1097,47.74013632,14.95999747
1098,47.67176011,16.28859407
1099,47.58729992,17.61361143
1100,47.48683258,18.93432563
1101,47.37044865,20.25003201
1102,47.23825183,21.56004804
1103,47.09035845,22.86371599
1104,46.92689678,24.16040527
1105,46.74800634,25.44951464
1106,46.55383719,26.73047403
1107,46.34454911,28.00274612
1108,46.12031083,29.26582766
1109,45.88129918,30.51925052
1121,46.27052642,-2.087017342
1122,46.40884454,-0.801565076
1123,46.53170171,0.489563162
1124,46.63899444,1.785738961
1125,46.73063129,3.086312572
1126,46.80653338,4.390615403
1127,46.86663479,5.6979627
1128,46.91088299,7.007656392
1129,46.9392391,8.318988065
1130,46.95167808,9.631242044
1131,46.94818896,10.94369855
1132,46.92877481,12.25563691
1133,46.89345278,13.56633875
1134,46.84225399,14.87509118
